IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
3.36,93.3,5.2,Tidak,Sedang,Perempuan,Tidak,Ya
3.09,100.0,4.5,Ya,Sedang,Perempuan,Tidak,Ya
3.42,70.0,3.3,Tidak,Sedang,Perempuan,Ya,Tidak
3.79,89.6,2.3,Tidak,Rendah,Laki-laki,Ya,Ya
3.05,77.5,4.2,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.05,79.1,3.8,Tidak,Sedang,Perempuan,Tidak,Tidak
3.81,78.1,4.5,Ya,Sedang,Laki-laki,Tidak,Ya
3.47,75.4,4.1,Ya,Tinggi,Perempuan,Ya,Ya
2.95,84.5,4.7,Ya,Sedang,Perempuan,Ya,Ya
3.38,75.7,2.5,Tidak,Sedang,Laki-laki,Tidak,Ya
2.96,86.7,5.0,Tidak,Rendah,Perempuan,Ya,Tidak
2.95,83.5,3.5,Tidak,Rendah,Perempuan,Ya,Tidak
3.25,81.6,6.1,Tidak,Rendah,Laki-laki,Tidak,Ya
2.35,74.9,2.2,Tidak,Sedang,Perempuan,Tidak,Tidak
2.43,78.2,5.6,Tidak,Rendah,Perempuan,Tidak,Tidak
2.91,91.6,3.5,Tidak,Tinggi,Perempuan,Ya,Ya
2.72,89.0,2.3,Ya,Sedang,Perempuan,Ya,Tidak
3.28,74.2,2.5,Ya,Sedang,Laki-laki,Tidak,Ya
2.77,85.0,2.8,Ya,Sedang,Perempuan,Ya,Tidak
2.56,91.5,3.8,Ya,Rendah,Perempuan,Tidak,Tidak
3.77,67.3,3.9,Ya,Sedang,Perempuan,Tidak,Ya
3.06,89.4,2.4,Tidak,Sedang,Perempuan,Ya,Tidak
3.18,77.4,3.2,Ya,Sedang,Laki-laki,Ya,Tidak
2.55,89.7,6.2,Ya,Sedang,Perempuan,Tidak,Ya
2.92,76.4,5.6,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.2,66.0,3.8,Tidak,Tinggi,Laki-laki,Tidak,Tidak
2.67,67.7,3.3,Ya,Sedang,Laki-laki,Tidak,Tidak
3.31,84.5,3.4,Tidak,Sedang,Perempuan,Tidak,Tidak
2.9,86.6,4.1,Ya,Sedang,Perempuan,Tidak,Ya
3.03,75.0,1.8,Ya,Rendah,Perempuan,Ya,Tidak
2.9,90.4,2.8,Tidak,Sedang,Perempuan,Tidak,Ya
3.93,67.4,0.9,Tidak,Rendah,Perempuan,Ya,Tidak
3.14,83.3,3.8,Tidak,Sedang,Perempuan,Ya,Tidak
2.71,71.9,4.1,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.5,77.5,2.5,Tidak,Rendah,Laki-laki,Tidak,Ya
2.64,84.5,5.4,Ya,Tinggi,Laki-laki,Ya,Ya
3.24,75.4,1.5,Tidak,Tinggi,Perempuan,Tidak,Tidak
2.33,80.2,1.1,Tidak,Sedang,Perempuan,Ya,Tidak
2.59,94.1,3.5,Tidak,Sedang,Laki-laki,Ya,Tidak
3.23,78.2,4.7,Ya,Tinggi,Laki-laki,Ya,Tidak
3.46,92.4,5.6,Tidak,Rendah,Perempuan,Ya,Ya
3.22,72.7,2.6,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.1,89.3,4.7,Ya,Rendah,Perempuan,Tidak,Tidak
3.02,98.4,3.1,Ya,Sedang,Perempuan,Tidak,Ya
2.53,59.3,3.0,Tidak,Rendah,Laki-laki,Tidak,Tidak
2.85,76.0,4.4,Ya,Tinggi,Laki-laki,Tidak,Tidak
2.96,89.8,4.1,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.59,82.0,1.0,Tidak,Rendah,Perempuan,Ya,Ya
3.29,87.7,5.3,Tidak,Sedang,Perempuan,Tidak,Ya
2.41,78.0,5.1,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.29,84.9,2.3,Ya,Sedang,Laki-laki,Tidak,Tidak
2.99,82.4,3.8,Tidak,Tinggi,Perempuan,Tidak,Tidak
2.87,95.7,3.9,Tidak,Sedang,Perempuan,Tidak,Tidak
3.41,86.5,3.6,Ya,Sedang,Perempuan,Tidak,Ya
3.58,87.4,2.4,Ya,Rendah,Laki-laki,Tidak,Tidak
3.54,79.9,2.3,Tidak,Rendah,Perempuan,Tidak,Tidak
2.8,79.1,3.2,Ya,Sedang,Perempuan,Ya,Tidak
3.02,79.7,4.8,Tidak,Sedang,Laki-laki,Ya,Ya
3.29,87.9,4.0,Ya,Sedang,Laki-laki,Ya,Ya
3.56,79.8,2.7,Ya,Sedang,Perempuan,Tidak,Ya
2.95,86.9,4.3,Ya,Sedang,Laki-laki,Ya,Tidak
3.07,100.0,0.5,Tidak,Tinggi,Laki-laki,Ya,Ya
2.69,92.7,4.8,Tidak,Tinggi,Laki-laki,Tidak,Tidak
2.65,80.7,0.8,Tidak,Sedang,Perempuan,Ya,Tidak
3.49,96.0,2.7,Tidak,Tinggi,Perempuan,Tidak,Ya
3.72,79.9,1.6,Tidak,Sedang,Perempuan,Ya,Tidak
3.12,63.6,1.4,Ya,Sedang,Laki-laki,Ya,Tidak
3.57,73.9,4.8,Tidak,Tinggi,Perempuan,Tidak,Ya
3.3,65.3,2.5,Tidak,Rendah,Perempuan,Ya,Tidak
2.88,80.5,3.7,Ya,Rendah,Perempuan,Tidak,Tidak
3.3,84.2,3.1,Tidak,Tinggi,Perempuan,Ya,Ya
3.8,100.0,3.9,Ya,Sedang,Laki-laki,Tidak,Ya
3.13,87.3,3.3,Tidak,Tinggi,Perempuan,Ya,Tidak
3.81,81.8,1.4,Tidak,Tinggi,Laki-laki,Tidak,Ya
2.05,92.3,4.6,Tidak,Rendah,Perempuan,Tidak,Tidak
3.5,61.9,2.5,Tidak,Tinggi,Laki-laki,Tidak,Ya
3.19,86.4,1.0,Ya,Sedang,Laki-laki,Ya,Tidak
3.02,91.7,2.6,Tidak,Sedang,Laki-laki,Ya,Ya
3.19,69.2,5.3,Tidak,Sedang,Perempuan,Ya,Ya
2.32,95.4,4.4,Tidak,Tinggi,Laki-laki,Ya,Ya
3.06,87.4,2.7,Tidak,Rendah,Perempuan,Tidak,Tidak
3.3,79.8,2.7,Ya,Sedang,Laki-laki,Tidak,Ya
3.77,90.3,2.7,Tidak,Sedang,Laki-laki,Tidak,Ya
2.93,100.0,6.1,Ya,Sedang,Perempuan,Tidak,Ya
2.81,85.8,3.7,Ya,Sedang,Laki-laki,Tidak,Tidak
2.94,86.5,3.8,Ya,Rendah,Laki-laki,Tidak,Tidak
3.53,79.4,4.6,Ya,Rendah,Perempuan,Tidak,Ya
3.29,75.5,3.5,Tidak,Sedang,Laki-laki,Tidak,Tidak
2.93,92.3,2.8,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.37,75.4,2.9,Tidak,Rendah,Laki-laki,Tidak,Ya
3.19,84.7,3.1,Ya,Rendah,Perempuan,Ya,Ya
3.56,79.2,3.1,Ya,Tinggi,Perempuan,Ya,Ya
2.86,88.8,4.2,Tidak,Rendah,Perempuan,Ya,Ya
3.01,87.3,3.3,Ya,Tinggi,Perempuan,Tidak,Ya
2.99,94.4,4.2,Tidak,Sedang,Laki-laki,Tidak,Tidak
2.54,78.9,3.1,Ya,Tinggi,Laki-laki,Ya,Tidak
3.27,81.3,3.3,Tidak,Rendah,Perempuan,Tidak,Tidak
3.26,74.2,0.5,Ya,Rendah,Laki-laki,Tidak,Tidak
3.15,79.6,4.5,Ya,Sedang,Laki-laki,Tidak,Ya
3.05,87.8,3.7,Tidak,Tinggi,Laki-laki,Tidak,Ya
2.56,91.6,4.6,Tidak,Sedang,Laki-laki,Tidak,Ya
2.97,74.8,0.5,Tidak,Rendah,Perempuan,Tidak,Tidak
3.01,92.7,6.1,Tidak,Sedang,Laki-laki,Ya,Ya
2.81,97.6,3.0,Tidak,Sedang,Perempuan,Tidak,Ya
3.08,88.1,4.8,Ya,Sedang,Laki-laki,Tidak,Ya
3.32,100.0,1.7,Ya,Sedang,Perempuan,Ya,Ya
3.94,76.3,4.1,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.22,71.6,1.7,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.26,66.2,2.3,Ya,Rendah,Perempuan,Ya,Tidak
3.12,99.0,5.9,Ya,Sedang,Perempuan,Tidak,Ya
2.34,90.5,2.9,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.14,83.4,3.5,Ya,Sedang,Laki-laki,Tidak,Ya
3.18,86.8,4.4,Tidak,Sedang,Laki-laki,Tidak,Ya
4.0,72.7,3.9,Tidak,Rendah,Laki-laki,Tidak,Ya
3.07,100.0,3.4,Tidak,Sedang,Laki-laki,Ya,Ya
3.28,85.3,3.7,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.14,85.1,6.6,Tidak,Tinggi,Laki-laki,Tidak,Ya
2.66,91.3,3.1,Ya,Tinggi,Laki-laki,Tidak,Ya
3.63,88.8,3.5,Ya,Rendah,Perempuan,Tidak,Ya
3.47,86.2,4.7,Ya,Tinggi,Perempuan,Tidak,Ya
3.48,76.1,4.7,Tidak,Sedang,Perempuan,Tidak,Ya
2.77,88.7,4.9,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.74,100.0,4.1,Ya,Rendah,Laki-laki,Tidak,Ya
2.56,97.5,1.6,Tidak,Sedang,Perempuan,Tidak,Ya
3.4,99.9,5.5,Tidak,Sedang,Laki-laki,Tidak,Ya
4.0,78.9,1.6,Tidak,Sedang,Laki-laki,Ya,Ya
2.73,74.1,3.6,Ya,Rendah,Perempuan,Tidak,Tidak
2.91,82.7,2.1,Tidak,Rendah,Perempuan,Tidak,Tidak
3.19,84.6,3.1,Tidak,Sedang,Perempuan,Tidak,Tidak
2.94,94.9,3.7,Ya,Rendah,Laki-laki,Ya,Ya
2.5,67.1,3.6,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.18,99.3,3.8,Tidak,Rendah,Perempuan,Ya,Ya
2.7,82.4,5.5,Tidak,Tinggi,Laki-laki,Ya,Tidak
3.35,79.7,3.8,Tidak,Tinggi,Perempuan,Ya,Ya
2.76,73.9,2.9,Ya,Sedang,Perempuan,Tidak,Tidak
3.8,67.5,4.5,Tidak,Tinggi,Perempuan,Tidak,Ya
2.82,92.2,4.9,Tidak,Sedang,Laki-laki,Ya,Ya
3.01,84.7,1.5,Ya,Sedang,Laki-laki,Ya,Tidak
3.49,71.1,4.0,Ya,Rendah,Perempuan,Ya,Ya
2.63,71.0,4.2,Ya,Sedang,Perempuan,Tidak,Tidak
3.25,80.6,2.8,Tidak,Tinggi,Perempuan,Tidak,Ya
3.7,100.0,5.1,Tidak,Sedang,Laki-laki,Tidak,Ya
2.47,81.4,3.0,Ya,Sedang,Laki-laki,Ya,Tidak
3.23,69.0,3.4,Ya,Sedang,Perempuan,Tidak,Ya
3.26,81.5,3.0,Tidak,Rendah,Perempuan,Tidak,Ya
3.48,81.3,3.2,Tidak,Tinggi,Perempuan,Ya,Ya
2.63,57.0,1.7,Tidak,Sedang,Laki-laki,Tidak,Tidak
2.6,83.5,1.2,Ya,Sedang,Perempuan,Ya,Tidak
3.37,81.7,5.4,Tidak,Sedang,Perempuan,Tidak,Ya
3.27,91.0,2.0,Tidak,Sedang,Perempuan,Tidak,Ya
3.26,100.0,1.8,Tidak,Rendah,Laki-laki,Tidak,Ya
3.3,95.3,0.5,Ya,Sedang,Laki-laki,Ya,Ya
2.86,81.3,2.3,Ya,Rendah,Perempuan,Tidak,Tidak
3.25,72.9,1.3,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.27,100.0,5.5,Ya,Tinggi,Laki-laki,Ya,Ya
2.85,84.6,4.6,Ya,Tinggi,Perempuan,Tidak,Ya
3.93,84.1,2.2,Tidak,Sedang,Laki-laki,Tidak,Ya
3.35,83.8,6.4,Tidak,Sedang,Perempuan,Tidak,Ya
2.65,86.0,4.6,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.43,82.6,2.7,Ya,Sedang,Perempuan,Tidak,Ya
2.74,78.3,0.5,Ya,Rendah,Perempuan,Tidak,Tidak
3.48,78.5,6.4,Ya,Sedang,Laki-laki,Tidak,Ya
3.64,83.7,1.3,Ya,Rendah,Laki-laki,Tidak,Ya
2.81,78.6,0.9,Tidak,Rendah,Laki-laki,Ya,Tidak
3.55,76.9,4.6,Ya,Sedang,Laki-laki,Tidak,Ya
3.32,85.1,6.6,Tidak,Rendah,Perempuan,Tidak,Ya
3.5,81.5,5.1,Tidak,Sedang,Perempuan,Tidak,Ya
3.95,99.0,4.0,Ya,Sedang,Laki-laki,Tidak,Ya
3.05,57.5,4.0,Ya,Rendah,Laki-laki,Tidak,Tidak
2.83,94.9,4.4,Tidak,Sedang,Laki-laki,Tidak,Ya
2.78,96.5,4.3,Ya,Rendah,Perempuan,Ya,Tidak
2.81,63.3,3.6,Ya,Rendah,Laki-laki,Tidak,Tidak
3.12,80.6,3.3,Tidak,Sedang,Perempuan,Ya,Tidak
3.29,80.3,3.1,Ya,Rendah,Perempuan,Ya,Ya
3.27,69.9,2.1,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.5,76.2,2.8,Tidak,Rendah,Laki-laki,Tidak,Ya
3.16,72.9,0.8,Tidak,Rendah,Perempuan,Tidak,Tidak
3.76,100.0,3.1,Ya,Sedang,Laki-laki,Ya,Ya
3.04,93.4,1.8,Ya,Sedang,Laki-laki,Tidak,Tidak
4.0,96.7,1.7,Tidak,Rendah,Perempuan,Tidak,Ya
3.41,91.2,3.5,Tidak,Sedang,Perempuan,Tidak,Ya
2.79,72.7,5.1,Ya,Rendah,Laki-laki,Ya,Tidak
2.7,78.8,4.5,Tidak,Tinggi,Laki-laki,Ya,Ya
3.35,88.9,1.0,Ya,Sedang,Laki-laki,Tidak,Ya
3.06,71.8,1.8,Ya,Sedang,Laki-laki,Ya,Tidak
3.45,91.1,4.5,Tidak,Tinggi,Laki-laki,Tidak,Ya
3.35,81.6,1.8,Ya,Sedang,Laki-laki,Tidak,Ya
3.12,80.3,2.9,Tidak,Tinggi,Laki-laki,Ya,Tidak
2.79,91.1,4.0,Ya,Sedang,Perempuan,Tidak,Tidak
2.51,88.4,1.8,Ya,Tinggi,Perempuan,Tidak,Tidak
2.96,80.4,3.3,Ya,Rendah,Perempuan,Tidak,Tidak
3.51,95.6,1.3,Tidak,Sedang,Laki-laki,Ya,Tidak
3.24,73.2,2.4,Ya,Sedang,Perempuan,Ya,Tidak
2.63,90.2,3.6,Tidak,Sedang,Perempuan,Tidak,Tidak
3.22,89.9,1.0,Tidak,Sedang,Perempuan,Ya,Ya
3.31,80.9,3.8,Tidak,Sedang,Perempuan,Tidak,Ya
2.78,87.3,3.2,Ya,Rendah,Perempuan,Tidak,Tidak
3.21,71.5,4.0,Tidak,Rendah,Perempuan,Tidak,Tidak
3.17,93.2,3.5,Ya,Sedang,Laki-laki,Tidak,Ya
2.67,82.2,5.1,Ya,Sedang,Perempuan,Tidak,Tidak
3.3,78.8,3.4,Tidak,Tinggi,Perempuan,Ya,Tidak
3.39,94.5,2.6,Ya,Sedang,Perempuan,Tidak,Ya
3.6,77.0,3.4,Tidak,Tinggi,Perempuan,Tidak,Ya
3.59,69.9,4.0,Ya,Sedang,Laki-laki,Tidak,Tidak
2.57,68.4,3.3,Ya,Rendah,Laki-laki,Tidak,Tidak
2.76,90.1,3.3,Tidak,Rendah,Perempuan,Ya,Tidak
3.37,71.2,2.2,Ya,Sedang,Perempuan,Tidak,Tidak
3.37,100.0,2.3,Tidak,Sedang,Perempuan,Tidak,Tidak
3.37,63.2,1.2,Tidak,Rendah,Laki-laki,Ya,Tidak
4.0,100.0,5.6,Ya,Sedang,Laki-laki,Tidak,Ya
3.39,86.1,1.5,Tidak,Tinggi,Perempuan,Tidak,Tidak
3.63,83.0,2.2,Tidak,Sedang,Perempuan,Tidak,Tidak
3.55,78.6,2.2,Tidak,Sedang,Perempuan,Tidak,Tidak
3.42,88.0,4.5,Ya,Sedang,Laki-laki,Ya,Ya
3.02,83.6,2.8,Tidak,Rendah,Perempuan,Ya,Ya
3.47,95.0,4.9,Tidak,Sedang,Laki-laki,Tidak,Ya
2.83,85.1,2.3,Ya,Sedang,Perempuan,Ya,Tidak
3.05,85.5,3.6,Ya,Rendah,Laki-laki,Tidak,Tidak
2.95,80.4,2.0,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.18,83.4,6.2,Tidak,Sedang,Perempuan,Tidak,Ya
4.0,87.1,1.5,Tidak,Tinggi,Perempuan,Tidak,Ya
2.37,66.9,3.6,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.44,70.5,4.1,Tidak,Rendah,Perempuan,Tidak,Ya
2.47,91.4,3.8,Ya,Sedang,Laki-laki,Ya,Tidak
2.95,85.7,2.9,Ya,Sedang,Laki-laki,Tidak,Ya
3.61,82.2,3.0,Ya,Tinggi,Laki-laki,Tidak,Tidak
3.18,84.2,3.3,Tidak,Rendah,Laki-laki,Tidak,Tidak
2.7,87.5,3.0,Ya,Sedang,Perempuan,Tidak,Tidak
2.85,78.6,4.5,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.44,76.2,6.3,Ya,Rendah,Laki-laki,Tidak,Ya
2.84,86.0,2.4,Ya,Rendah,Perempuan,Ya,Tidak
3.24,74.2,1.3,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.17,88.1,3.1,Ya,Sedang,Perempuan,Tidak,Tidak
2.88,67.0,6.8,Tidak,Sedang,Laki-laki,Tidak,Ya
4.0,94.3,2.1,Ya,Sedang,Perempuan,Tidak,Ya
3.42,88.7,5.5,Tidak,Sedang,Laki-laki,Tidak,Ya
2.3,86.6,5.5,Tidak,Sedang,Laki-laki,Ya,Tidak
3.23,93.8,2.4,Ya,Rendah,Laki-laki,Tidak,Ya
2.87,100.0,4.0,Tidak,Tinggi,Laki-laki,Tidak,Ya
3.51,94.1,5.5,Ya,Rendah,Laki-laki,Tidak,Ya
2.82,65.6,2.7,Tidak,Sedang,Perempuan,Tidak,Tidak
3.1,71.2,2.9,Ya,Rendah,Perempuan,Tidak,Tidak
3.36,77.8,2.4,Ya,Rendah,Perempuan,Ya,Ya
3.51,84.3,1.8,Tidak,Sedang,Perempuan,Tidak,Ya
2.65,89.2,2.3,Tidak,Rendah,Laki-laki,Ya,Tidak
3.01,76.7,1.5,Tidak,Tinggi,Laki-laki,Tidak,Tidak
2.95,85.9,3.2,Tidak,Rendah,Laki-laki,Ya,Tidak
2.88,76.4,2.1,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.89,77.9,3.5,Ya,Sedang,Perempuan,Ya,Ya
3.32,69.9,1.0,Ya,Rendah,Perempuan,Tidak,Tidak
2.62,74.8,3.7,Ya,Rendah,Laki-laki,Ya,Tidak
3.54,70.5,4.4,Ya,Sedang,Laki-laki,Tidak,Tidak
4.0,74.2,0.5,Ya,Sedang,Perempuan,Tidak,Tidak
3.58,94.5,3.7,Ya,Sedang,Perempuan,Tidak,Ya
2.51,74.5,4.9,Tidak,Sedang,Laki-laki,Ya,Tidak
2.95,100.0,1.5,Ya,Sedang,Perempuan,Tidak,Ya
3.68,88.9,5.5,Ya,Rendah,Perempuan,Ya,Ya
2.85,85.8,3.8,Ya,Sedang,Laki-laki,Tidak,Tidak
3.34,75.4,2.2,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.48,91.0,3.1,Tidak,Sedang,Perempuan,Tidak,Ya
2.76,78.2,4.0,Tidak,Sedang,Perempuan,Ya,Tidak
3.12,85.2,3.3,Ya,Sedang,Perempuan,Ya,Tidak
2.0,100.0,4.0,Tidak,Sedang,Laki-laki,Ya,Tidak
2.72,83.0,1.9,Tidak,Sedang,Laki-laki,Tidak,Tidak
3.04,95.5,3.4,Ya,Sedang,Perempuan,Tidak,Tidak
2.63,77.0,1.2,Tidak,Tinggi,Perempuan,Ya,Tidak
3.84,83.7,3.0,Tidak,Rendah,Laki-laki,Tidak,Ya
2.55,100.0,1.9,Tidak,Rendah,Perempuan,Ya,Tidak
2.97,77.7,2.2,Ya,Sedang,Perempuan,Ya,Tidak
3.2,100.0,4.9,Ya,Tinggi,Perempuan,Ya,Ya
3.76,91.1,4.7,Tidak,Rendah,Perempuan,Ya,Ya
2.55,78.4,4.1,Ya,Rendah,Perempuan,Tidak,Tidak
3.64,90.3,1.7,Tidak,Rendah,Laki-laki,Tidak,Ya
3.15,93.7,2.8,Ya,Rendah,Perempuan,Ya,Ya
2.74,90.2,4.9,Ya,Sedang,Laki-laki,Tidak,Ya
3.34,68.3,3.4,Ya,Sedang,Perempuan,Ya,Tidak
3.23,76.7,6.4,Tidak,Sedang,Laki-laki,Ya,Ya
2.9,81.5,3.8,Ya,Sedang,Perempuan,Tidak,Tidak
3.18,83.3,3.5,Ya,Rendah,Laki-laki,Ya,Ya
2.99,90.2,2.8,Tidak,Rendah,Laki-laki,Tidak,Tidak
3.2,85.8,3.4,Ya,Sedang,Laki-laki,Tidak,Tidak
3.43,70.6,3.0,Tidak,Tinggi,Laki-laki,Tidak,Tidak
3.82,87.8,4.2,Ya,Tinggi,Perempuan,Tidak,Ya
2.63,90.1,4.5,Tidak,Rendah,Perempuan,Tidak,Tidak
